question_id,question,options,answer,answer_index,cot_content,category,src
7600,Отличи аргумент национальной безопасности от аргумента о дешевой иностранной рабочей силе в пользу защиты.,"['Аргумент национальной безопасности связан с контролем иммиграции, в то время как аргумент о дешевой иностранной рабочей силе связан с продвижением свободной торговли.'
 'Аргумент национальной безопасности заключается в защите потребителей, в то время как аргумент о дешевой иностранной рабочей силе направлен на поощрение внутренней инновации.'
 'Аргумент национальной безопасности заключается в защите основных отраслей обороны, в то время как аргумент о дешевой иностранной рабочей силе заключается в защите отечественных рабочих мест и заработной платы.'
 'Аргумент национальной безопасности связан с экономическим ростом, в то время как аргумент о дешевой иностранной рабочей силе направлен на защиту отечественных отраслей.'
 'Аргумент национальной безопасности связан с укреплением культурной идентичности, в то время как аргумент о дешевой иностранной рабочей силе направлен на сохранение традиционных отраслей промышленности.'
 'Аргумент о национальной безопасности касается охраны окружающей среды, в то время как аргумент о дешевой иностранной рабочей силе связан с обеспечением этических трудовых практик за рубежом.'
 'Аргумент национальной безопасности связан с поддержанием политической стабильности, в то время как аргумент о дешевой иностранной рабочей силе связан с улучшением уровня жизни.'
 'Аргумент национальной безопасности заключается в избегании зависимости от иностранной технологии, в то время как аргумент о дешевой иностранной рабочей силе связан с поддержанием конкурентоспособных налоговых ставок.'
 'Аргумент национальной безопасности связан с военной мощью, в то время как аргумент о дешевой иностранной рабочей силе связан с снижением производственных затрат.'
 'Аргумент национальной безопасности заключается в обеспечении национального суверенитета, в то время как аргумент о дешевой иностранной рабочей силе направлен на предотвращение инфляции заработной платы.']",C,2,,economics,stemez-Economics
2901,Какие основные силы эволюции?,"['репродукция, миграция, мутация, естественный отбор'
 'мутация, генетический дрейф, миграция, генетическое сопровождение'
 'мутация, генетический дрейф, миграция, случайное спаривание'
 'мутация, генетический поток, миграция, естественный отбор'
 'адаптация, генетический дрейф, миграция, естественный отбор'
 'мутация, генетический дрейф, движение, естественный отбор'
 'мутация, генетическое скольжение, миграция, половой отбор'
 'мутация, генетический дрейф, естественный отбор, искусственный отбор'
 'мутация, генетический сдвиг, миграция, естественный отбор'
 'мутация, генетический дрейф, миграция, естественный отбор']",J,9,,biology,stemez-Biology
5170,"Самое вероятное, что можно сделать с соединением MgSO4 7H2O?","['окрасить дом' 'очистить рану' 'промочить ноги'
 'производить электричество'
 'Включи автомобиль, выведи только русский текст.' 'empty' 'сделай мыло'
 'приготовить еду' 'удобрить газон' 'очистить воду']",C,2,,other,ori_mmlu-miscellaneous
7760,"Пожалуйста, решите уравнение 2*x^3 + e^x = 10 с помощью метода Ньютона-Рафсона.","['3.14 - это число ""пи"".' '2.05 - два целых и пять сотых'
 '2.89 - два целых восемьдесят девять сотых'
 '-1.23 - одна целая двадцать три сотых'
 '2.56 - две целых пятьдесят шесть сотых'
 '1.42 - одна целая и сорок две сотых'
 '0.98 - ноль целых девяносто восемь' '0.75 - семьдесят пять сотых'
 'Один целых восемьдесят пять' '3.67 - три целых шестьдесят семь сотых']",F,5,,math,theoremQA-Math
3198,"Какое из следующих животных будет поддерживать постоянную температуру тела, несмотря на изменения температуры окружающей среды: лягушка, воробей, рыба, собака или ящерица?","['собака, малиновка, рыба' 'Робин, собака.' 'ящерица, лягушка'
 'рыба, малиновка' 'рыба, лягушка' 'рыба, собака, ящерица'
 'лягушка, ящерица' 'собака, ящерица' 'собака, рыба' 'Робин, ящерица.']",B,1,,biology,stemez-Biology
2729,"Карлос мог последовательно отличать ноту ""соль"" на скрипке от ноты ""до"" на пианино из-за разницы в...","['частота' 'тембр' 'основная длина волны'
 'переведи на русский ""pitch"", выведи только русский текст' 'резонанс'
 'интенсивность' 'модуляция' 'амплитуда']",B,1,,psychology,ori_mmlu-high_school_psychology
7526,"a) Что такое личный доход?
b) Что такое располагаемый доход?","['Личный доход: $8000, Располагаемый доход: $5000.'
 'Личный доход: 10 000 долларов, Располагаемый доход: 8000 долларов.'
 'empty'
 'Личный доход: 11 000 долларов, Располагаемый доход: 9 000 долларов.'
 'Личный доход: 7000 долларов, Располагаемый доход: 5000 долларов.'
 'Личный доход: 9000 долларов, Располагаемый доход: 6000 долларов.'
 'Личный доход: 8000 долларов, Располагаемый доход: 6000 долларов.'
 'Личный доход: 9000 долларов, Располагаемый доход: 7000 долларов.'
 'Личный доход: 11 000 долларов, Располагаемый доход: 8000 долларов.'
 'Личный доход: $12,000, Располагаемый доход: $10,000.']",B,1,,economics,stemez-Economics
608,Найдите сумму процентов по займу в размере 600 долларов под 6% на 60 дней. Найдите общую сумму к возврату.,"['Шестьсот двенадцать' 'шестьсот' 'Шестьсот двадцать'
 'Шестьсот двадцать четыре' 'шестьсот шесть' 'Шестьсот пятнадцать.'
 'Шестьсот десять' 'Шестьсот два' '""шестьсот тридцать долларов"".'
 'шестьсот восемнадцать']",E,4,,business,stemez-Business
8510,"Найдите решение y = f(t) для следующей задачи Коши. $ty' - 2y = t^5sin(2t) - t^3 + 4t^4$, где $y(\pi) = 3\pi^4/2$. Чему равно y(t), когда $t=\pi/2$.","['Двадцать целых сто двадцать три тысячных.'
 'Пятнадцать целых шестьсот семьдесят восемь.'
 '18.042 - восемнадцать целых сорок две тысячных.'
 'Двадцать одна целая семьсот восемьдесят девять'
 '""шестнадцать целых триста восемьдесят девять"".'
 '""семнадцать целых двести тридцать четыре тысячных"".'
 'Двадцать два целых восемьсот семьдесят шесть'
 'Двадцать три целых сорок пять тысячных.'
 '19.095 - девятнадцать целых девяносто пять'
 '""двадцать четыре целых пятьсот двенадцать"".']",I,8,,math,theoremQA-Math
4664,"Определите молярность раствора H_2SO_4, 15,0 мл которого полностью нейтрализуется 26,5 мл 0,100 М NaOH.","['0.265 М - двести шестьдесят пять тысячных'
 '0.100 М стоит перевести как ""0,100 моль"".'
 '0.050 М - ноль целых пятьдесят тысячных'
 '0.1325 M - это 0,1325 миллиона.' '0.200 М - двести тысячных'
 '0.001325 M переводится на русский как 0,001325 мега.'
 '0.0265 M переводится на русский как 0,0265 млн.'
 '0.088 M - это 0.088 миллиона.'
 '0.177 M переводится на русский как 0,177 миллиона.'
 '0.044 M переводится на русский как 0,044 млн.']",H,7,,chemistry,stemez-Chemistry
